,file_name,label,x1,y1,x2,y2
0,009000.jpg,Straight_Knife,763,486,840,549
1,009002.jpg,Straight_Knife,650,289,717,357
2,009003.jpg,Straight_Knife,458,336,580,389
3,009004.jpg,Straight_Knife,711,523,800,598
4,009005.jpg,Straight_Knife,723,550,793,626
5,009007.jpg,Straight_Knife,459,250,526,420
6,009008.jpg,Straight_Knife,573,336,624,563
7,009009.jpg,Straight_Knife,710,304,1026,352
8,009012.jpg,Straight_Knife,953,335,1018,404
9,009013.jpg,Straight_Knife,625,342,668,542
10,009014.jpg,Straight_Knife,684,381,736,504
11,009016.jpg,Straight_Knife,527,387,587,564
12,009017.jpg,Straight_Knife,638,362,855,412
13,009018.jpg,Straight_Knife,573,492,635,722
14,009019.jpg,Straight_Knife,515,561,605,635
15,009023.jpg,Straight_Knife,527,382,603,487
16,009024.jpg,Straight_Knife,662,328,715,387
17,009025.jpg,Straight_Knife,757,405,810,541
18,009026.jpg,Straight_Knife,857,489,910,555
19,009029.jpg,Straight_Knife,594,417,642,614
20,009030.jpg,Straight_Knife,604,314,671,385
21,009032.jpg,Straight_Knife,344,731,463,786
22,009033.jpg,Straight_Knife,521,462,588,509
23,009034.jpg,Straight_Knife,762,478,823,590
24,009035.jpg,Straight_Knife,668,514,789,555
25,009036.jpg,Straight_Knife,410,410,527,557
26,009039.jpg,Straight_Knife,836,473,880,661
27,009042.jpg,Straight_Knife,846,297,925,557
28,009045.jpg,Straight_Knife,724,519,822,614
29,009046.jpg,Straight_Knife,453,322,702,405
30,009048.jpg,Straight_Knife,574,386,863,448
31,009053.jpg,Straight_Knife,760,448,942,484
32,009055.jpg,Straight_Knife,549,366,598,574
33,009059.jpg,Straight_Knife,458,409,516,592
34,009061.jpg,Straight_Knife,633,429,732,555
35,009065.jpg,Straight_Knife,438,377,522,601
36,009067.jpg,Straight_Knife,734,349,829,437
37,009068.jpg,Straight_Knife,798,647,862,713
38,009069.jpg,Straight_Knife,542,408,611,607
39,009071.jpg,Straight_Knife,629,508,690,643
40,009072.jpg,Straight_Knife,745,344,803,563
41,009076.jpg,Straight_Knife,755,486,804,558
42,009079.jpg,Straight_Knife,724,268,847,323
43,009080.jpg,Straight_Knife,417,455,753,533
44,009081.jpg,Straight_Knife,940,446,990,665
45,009082.jpg,Straight_Knife,498,502,582,572
46,009084.jpg,Straight_Knife,416,468,471,660
47,009087.jpg,Straight_Knife,496,394,715,478
48,009090.jpg,Straight_Knife,609,377,753,453
49,009091.jpg,Straight_Knife,477,486,543,550
50,009092.jpg,Straight_Knife,603,313,692,398
51,009096.jpg,Straight_Knife,485,602,583,669
52,009097.jpg,Straight_Knife,560,379,618,467
53,009101.jpg,Straight_Knife,489,442,608,479
54,009105.jpg,Straight_Knife,589,261,909,382
55,009108.jpg,Straight_Knife,446,497,530,556
56,009110.jpg,Straight_Knife,738,543,852,581
57,009112.jpg,Straight_Knife,641,603,681,666
58,009113.jpg,Straight_Knife,634,325,728,553
59,009114.jpg,Straight_Knife,487,253,810,330
60,009115.jpg,Straight_Knife,261,342,311,560
61,009120.jpg,Straight_Knife,388,570,446,645
62,009122.jpg,Straight_Knife,798,330,893,570
63,009123.jpg,Straight_Knife,693,342,769,571
64,009124.jpg,Straight_Knife,406,479,481,572
65,009125.jpg,Straight_Knife,308,317,602,363
66,009126.jpg,Straight_Knife,475,577,633,633
67,009127.jpg,Straight_Knife,828,450,888,508
68,009128.jpg,Straight_Knife,489,613,603,653
69,009132.jpg,Straight_Knife,653,503,710,562
70,009136.jpg,Straight_Knife,525,420,602,586
71,009140.jpg,Straight_Knife,691,505,850,551
